artist,track
John Vanderslice,Exodus Damage
Marie-Pierre Arthur,Fil de Soie
Heartsreveloution,Switchblade
Nick May,What Do You Want From Me?
National,The System Old Dreams In Total Darkness
Jacques Greene,Real Time
Com Truise,Data Kiss
Lusine,Forks
Horrors,Point Of No Reply
Clovis,Mundo
Tôg,Når me våkne opp imårå
Neon Indian,The Blindside Kiss
Chairlift,Ch-Ching
The XX,Brave for you
Belle Adair,Comes a time
Midnight Juggernaughts,Systopia - Nine lives
Violents And Monica Martin,Awake And Pretty Much Sober
Skiing,Start Stopping
San Cisco The Water,That Boy
The Mountain Goats,No Children
Chilly Gonzales,Knight Moves
